[2025-08-25 19:37:18] Performance: {'question_id': 'TEST_000', 'processing_time': 0.0009996891021728516, 'answer_length': 1, 'domain': '금융투자', 'question_type': 'multiple_choice'}
[2025-08-25 19:37:18] Performance: {'question_id': 'TEST_001', 'processing_time': 0.0010063648223876953, 'answer_length': 1, 'domain': '위험관리', 'question_type': 'multiple_choice'}
[2025-08-25 19:37:21] Performance: {'question_id': 'TEST_002', 'processing_time': 2.965890407562256, 'answer_length': 1, 'domain': '개인정보보호', 'question_type': 'multiple_choice'}
[2025-08-25 19:37:24] Performance: {'question_id': 'TEST_003', 'processing_time': 2.9447216987609863, 'answer_length': 1, 'domain': '정보보안', 'question_type': 'multiple_choice'}
[2025-08-25 19:37:27] Performance: {'question_id': 'TEST_005', 'processing_time': 3.0032575130462646, 'answer_length': 1, 'domain': '전자금융', 'question_type': 'multiple_choice'}
[2025-08-25 19:37:30] Performance: {'question_id': 'TEST_006', 'processing_time': 2.9617040157318115, 'answer_length': 1, 'domain': '개인정보보호', 'question_type': 'multiple_choice'}
[2025-08-25 19:37:33] Performance: {'question_id': 'TEST_008', 'processing_time': 2.9663732051849365, 'answer_length': 1, 'domain': '사이버보안', 'question_type': 'multiple_choice'}
[2025-08-25 19:37:36] Performance: {'question_id': 'TEST_009', 'processing_time': 2.894108772277832, 'answer_length': 1, 'domain': '전자금융', 'question_type': 'multiple_choice'}
[2025-08-25 19:37:39] Performance: {'question_id': 'TEST_010', 'processing_time': 2.886899948120117, 'answer_length': 1, 'domain': '개인정보보호', 'question_type': 'multiple_choice'}
[2025-08-25 19:37:42] Performance: {'question_id': 'TEST_011', 'processing_time': 2.9158194065093994, 'answer_length': 1, 'domain': '전자금융', 'question_type': 'multiple_choice'}
[2025-08-25 19:37:45] Performance: {'question_id': 'TEST_012', 'processing_time': 2.8962345123291016, 'answer_length': 1, 'domain': '정보보안', 'question_type': 'multiple_choice'}
[2025-08-25 19:37:48] Performance: {'question_id': 'TEST_013', 'processing_time': 2.9633777141571045, 'answer_length': 1, 'domain': '전자금융', 'question_type': 'multiple_choice'}
[2025-08-25 19:37:51] Performance: {'question_id': 'TEST_014', 'processing_time': 2.9020652770996094, 'answer_length': 1, 'domain': '사이버보안', 'question_type': 'multiple_choice'}
[2025-08-25 19:37:54] Performance: {'question_id': 'TEST_015', 'processing_time': 2.9457380771636963, 'answer_length': 1, 'domain': '개인정보보호', 'question_type': 'multiple_choice'}
[2025-08-25 19:37:57] Performance: {'question_id': 'TEST_016', 'processing_time': 3.0459234714508057, 'answer_length': 1, 'domain': '일반', 'question_type': 'multiple_choice'}
[2025-08-25 19:38:00] Performance: {'question_id': 'TEST_017', 'processing_time': 3.0000858306884766, 'answer_length': 1, 'domain': '개인정보보호', 'question_type': 'multiple_choice'}
[2025-08-25 19:38:03] Performance: {'question_id': 'TEST_018', 'processing_time': 2.994736433029175, 'answer_length': 1, 'domain': '전자금융', 'question_type': 'multiple_choice'}
[2025-08-25 19:38:06] Performance: {'question_id': 'TEST_019', 'processing_time': 2.9564480781555176, 'answer_length': 1, 'domain': '개인정보보호', 'question_type': 'multiple_choice'}
[2025-08-25 19:38:09] Performance: {'question_id': 'TEST_020', 'processing_time': 2.907809019088745, 'answer_length': 1, 'domain': '개인정보보호', 'question_type': 'multiple_choice'}
[2025-08-25 19:38:12] Performance: {'question_id': 'TEST_021', 'processing_time': 2.9419164657592773, 'answer_length': 1, 'domain': '개인정보보호', 'question_type': 'multiple_choice'}
[2025-08-25 19:38:14] Performance: {'question_id': 'TEST_022', 'processing_time': 2.952617883682251, 'answer_length': 1, 'domain': '전자금융', 'question_type': 'multiple_choice'}
[2025-08-25 19:38:17] Performance: {'question_id': 'TEST_023', 'processing_time': 2.9228646755218506, 'answer_length': 1, 'domain': '사이버보안', 'question_type': 'multiple_choice'}
[2025-08-25 19:38:20] Performance: {'question_id': 'TEST_024', 'processing_time': 3.0625510215759277, 'answer_length': 1, 'domain': '정보보안', 'question_type': 'multiple_choice'}
[2025-08-25 19:38:24] Performance: {'question_id': 'TEST_025', 'processing_time': 3.1017043590545654, 'answer_length': 1, 'domain': '사이버보안', 'question_type': 'multiple_choice'}
[2025-08-25 19:38:27] Performance: {'question_id': 'TEST_026', 'processing_time': 3.055370569229126, 'answer_length': 1, 'domain': '개인정보보호', 'question_type': 'multiple_choice'}
[2025-08-25 19:38:30] Performance: {'question_id': 'TEST_027', 'processing_time': 2.9822192192077637, 'answer_length': 1, 'domain': '정보보안', 'question_type': 'multiple_choice'}
[2025-08-25 19:38:33] Performance: {'question_id': 'TEST_028', 'processing_time': 2.9284167289733887, 'answer_length': 1, 'domain': '사이버보안', 'question_type': 'multiple_choice'}
[2025-08-25 19:38:35] Performance: {'question_id': 'TEST_029', 'processing_time': 2.950509548187256, 'answer_length': 1, 'domain': '개인정보보호', 'question_type': 'multiple_choice'}
[2025-08-25 19:38:39] Performance: {'question_id': 'TEST_030', 'processing_time': 3.118547201156616, 'answer_length': 1, 'domain': '전자금융', 'question_type': 'multiple_choice'}
[2025-08-25 19:38:42] Performance: {'question_id': 'TEST_031', 'processing_time': 2.949070692062378, 'answer_length': 1, 'domain': '전자금융', 'question_type': 'multiple_choice'}
[2025-08-25 19:38:45] Performance: {'question_id': 'TEST_032', 'processing_time': 2.963216543197632, 'answer_length': 1, 'domain': '개인정보보호', 'question_type': 'multiple_choice'}
[2025-08-25 19:38:48] Performance: {'question_id': 'TEST_033', 'processing_time': 3.0676188468933105, 'answer_length': 1, 'domain': '개인정보보호', 'question_type': 'multiple_choice'}
[2025-08-25 19:38:51] Performance: {'question_id': 'TEST_034', 'processing_time': 3.195675849914551, 'answer_length': 1, 'domain': '사이버보안', 'question_type': 'multiple_choice'}
[2025-08-25 19:38:54] Performance: {'question_id': 'TEST_035', 'processing_time': 3.2269039154052734, 'answer_length': 1, 'domain': '개인정보보호', 'question_type': 'multiple_choice'}
[2025-08-25 19:38:57] Performance: {'question_id': 'TEST_036', 'processing_time': 3.2426981925964355, 'answer_length': 1, 'domain': '전자금융', 'question_type': 'multiple_choice'}
[2025-08-25 19:39:00] Performance: {'question_id': 'TEST_037', 'processing_time': 3.1293647289276123, 'answer_length': 1, 'domain': '사이버보안', 'question_type': 'multiple_choice'}
[2025-08-25 19:39:04] Performance: {'question_id': 'TEST_038', 'processing_time': 3.1650660037994385, 'answer_length': 1, 'domain': '개인정보보호', 'question_type': 'multiple_choice'}
[2025-08-25 19:39:07] Performance: {'question_id': 'TEST_039', 'processing_time': 3.082667350769043, 'answer_length': 1, 'domain': '전자금융', 'question_type': 'multiple_choice'}
[2025-08-25 19:39:10] Performance: {'question_id': 'TEST_040', 'processing_time': 3.1015994548797607, 'answer_length': 1, 'domain': '정보보안', 'question_type': 'multiple_choice'}
[2025-08-25 19:39:13] Performance: {'question_id': 'TEST_041', 'processing_time': 3.2917091846466064, 'answer_length': 1, 'domain': '정보보안', 'question_type': 'multiple_choice'}
[2025-08-25 19:39:16] Performance: {'question_id': 'TEST_042', 'processing_time': 3.134586811065674, 'answer_length': 1, 'domain': '전자금융', 'question_type': 'multiple_choice'}
[2025-08-25 19:39:19] Performance: {'question_id': 'TEST_043', 'processing_time': 3.129448175430298, 'answer_length': 1, 'domain': '전자금융', 'question_type': 'multiple_choice'}
[2025-08-25 19:39:23] Performance: {'question_id': 'TEST_044', 'processing_time': 3.222316265106201, 'answer_length': 1, 'domain': '개인정보보호', 'question_type': 'multiple_choice'}
[2025-08-25 19:39:26] Performance: {'question_id': 'TEST_045', 'processing_time': 3.1381075382232666, 'answer_length': 1, 'domain': '사이버보안', 'question_type': 'multiple_choice'}
[2025-08-25 19:39:29] Performance: {'question_id': 'TEST_046', 'processing_time': 3.0539023876190186, 'answer_length': 1, 'domain': '개인정보보호', 'question_type': 'multiple_choice'}
[2025-08-25 19:39:32] Performance: {'question_id': 'TEST_047', 'processing_time': 3.155799150466919, 'answer_length': 1, 'domain': '개인정보보호', 'question_type': 'multiple_choice'}
[2025-08-25 19:39:35] Performance: {'question_id': 'TEST_048', 'processing_time': 3.2130794525146484, 'answer_length': 1, 'domain': '전자금융', 'question_type': 'multiple_choice'}
[2025-08-25 19:39:38] Performance: {'question_id': 'TEST_049', 'processing_time': 3.066309690475464, 'answer_length': 1, 'domain': '개인정보보호', 'question_type': 'multiple_choice'}
[2025-08-25 19:39:41] Performance: {'question_id': 'TEST_050', 'processing_time': 3.1529858112335205, 'answer_length': 1, 'domain': '개인정보보호', 'question_type': 'multiple_choice'}
[2025-08-25 19:39:44] Performance: {'question_id': 'TEST_051', 'processing_time': 3.0563933849334717, 'answer_length': 1, 'domain': '사이버보안', 'question_type': 'multiple_choice'}
